Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
1,0.38,0.53,2,157,3,0,0,sales,low
2,0.8,0.86,5,262,6,0,0,sales,medium
3,0.11,0.88,7,272,4,0,0,sales,medium
4,0.72,0.87,5,223,5,0,0,sales,low
5,0.37,0.52,2,159,3,0,0,sales,low
6,0.41,0.5,2,153,3,0,0,sales,low
7,0.1,0.77,6,247,4,0,0,sales,low
8,0.92,0.85,5,259,5,0,0,sales,low
9,0.89,1,5,224,5,0,0,sales,low
10,0.42,0.53,2,142,3,0,0,sales,low
11,0.45,0.54,2,135,3,0,0,sales,low
12,0.11,0.81,6,305,4,0,0,sales,low
13,0.84,0.92,4,234,5,0,0,sales,low
14,0.41,0.55,2,148,3,0,0,sales,low
15,0.36,0.56,2,137,3,0,0,sales,low
16,0.38,0.54,2,143,3,0,0,sales,low
17,0.45,0.47,2,160,3,0,0,sales,low
18,0.78,0.99,4,255,6,0,0,sales,low
19,0.45,0.51,2,160,3,1,1,sales,low
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-8,0.45,0.54,2,txt,3,0,0,sales,3
